"rules","support","confidence","lift","count"
"{Copiers,Machines} => {Art}",0.00107845780533837,0.8,4.30653120464441,4
"{Copiers,Machines} => {Phones}",0.00107845780533837,0.8,3.91968295904888,4
"{Copiers,Machines} => {Furnishings}",0.00107845780533837,0.8,3.67682775712516,4
"{Bookcases,Copiers} => {Paper}",0.00134807225667296,0.833333333333333,2.87519379844961,5
"{Bookcases,Machines} => {Binders}",0.00215691561067673,0.888888888888889,2.81064696409965,8
"{Envelopes,Machines} => {Appliances}",0.00215691561067673,0.8,6.91655011655012,8
"{Envelopes,Machines} => {Paper}",0.00215691561067673,0.8,2.76018604651163,8
"{Machines,Tables} => {Binders}",0.00431383122135346,0.761904761904762,2.40912596922827,16
"{Fasteners,Tables} => {Binders}",0.00485306012402265,0.75,2.37148337595908,18
"{Bookcases,Chairs,Copiers} => {Paper}",0.00107845780533837,1,3.45023255813953,4
"{Bookcases,Copiers,Paper} => {Chairs}",0.00107845780533837,0.8,5.48465804066544,4
"{Copiers,Labels,Phones} => {Paper}",0.00107845780533837,1,3.45023255813953,4
"{Copiers,Labels,Paper} => {Phones}",0.00107845780533837,0.8,3.91968295904888,4
"{Appliances,Chairs,Copiers} => {Furnishings}",0.00107845780533837,1,4.59603469640644,4
"{Appliances,Chairs,Copiers} => {Binders}",0.00107845780533837,1,3.16197783461211,4
"{Appliances,Art,Copiers} => {Phones}",0.00134807225667296,1,4.8996036988111,5
"{Appliances,Copiers,Phones} => {Art}",0.00134807225667296,0.833333333333333,4.48597000483793,5
"{Appliances,Art,Copiers} => {Binders}",0.00107845780533837,0.8,2.52958226768968,4
"{Appliances,Copiers,Storage} => {Furnishings}",0.00134807225667296,0.833333333333333,3.83002891367204,5
"{Appliances,Copiers,Storage} => {Binders}",0.00134807225667296,0.833333333333333,2.63498152884342,5
"{Appliances,Copiers,Phones} => {Binders}",0.00134807225667296,0.833333333333333,2.63498152884342,5
"{Appliances,Copiers,Paper} => {Furnishings}",0.00134807225667296,0.833333333333333,3.83002891367204,5
"{Appliances,Copiers,Furnishings} => {Binders}",0.00161768670800755,0.857142857142857,2.7102667153818,6
"{Appliances,Binders,Copiers} => {Furnishings}",0.00161768670800755,0.75,3.44702602230483,6
"{Art,Chairs,Copiers} => {Phones}",0.00161768670800755,0.857142857142857,4.19966031326665,6
"{Chairs,Copiers,Phones} => {Art}",0.00161768670800755,0.75,4.03737300435414,6
"{Art,Chairs,Copiers} => {Paper}",0.00161768670800755,0.857142857142857,2.95734219269103,6
"{Accessories,Copiers,Phones} => {Chairs}",0.00107845780533837,0.8,5.48465804066544,4
"{Accessories,Chairs,Copiers} => {Binders}",0.00134807225667296,0.833333333333333,2.63498152884342,5
